fips,count,pctharassment,totrate,evanrate,mprtrate,cathrate,pop2010,pctharassment_filtered,gini_rpme_2010,median_income,lnpctharassment_filtered,propmale2010,crimerate2000,pblack2010,pforeign2010,trump16,str_fips
1001,13043,1.1347083,676.87891,503.99,82.8588888888889,32.3588888888889,54571,.9277007,.39076093,53773,.65632796,.48687032,.031756792,.17670557,.013853512,1,01001
1003,1045,1.0526316,531.73999,318.138888888889,110.14,76.8588888888889,182265,.86124402,.43082243,50706,.62124509,.48937535,.022390475,.093846872,.037500344,1,01003
1005,52,0,549.98999,320.25,77.9388888888889,20.94,27457,0,.45992023,31889,0,.53086644,.003423535,.46891505,.028335216,1,01005
1007,44,0,498.79999,443.328888888889,13.1788888888889,,22915,0,.41081017,36824,0,.53680992,0,.22024874,.012437268,1,01007
1009,58,1.7241379,651.62,509.8,52.95,82.76000000000001,57322,1.7241379,.41029143,45192,1.002152,.49478385,.020742472,.01327588,.04718956,1,01009
1011,3,0,577.23999,197.18,55.07,4.49,10914,0,.52517623,34500,0,.54168957,0,.70240057,.045079716,0,01011
1013,40,0,586.14886,413.088888888889,78.9088888888889,3.68,20947,0,.46336034,30752,0,.46966153,.00033417673,.43419105,.012937414,1,01013
1015,1230,1.8699187,713.62,569.808888888889,59.59,26.92,118572,1.8699187,.45331562,40093,1.0542837,.48220491,.045837127,.20563033,.023774585,1,01015
1017,456,2.8508773,650.33002,377.12,90.0188888888889,7.28,34215,1.3157895,.42909688,32181,.83975065,.47824055,.02402455,.38746163,.011749233,1,01017
1019,29,3.4482758,479.23999,418.06,61.1788888888889,,25989,3.4482758,.44118056,36241,1.4925165,.49590212,.006117973,.046481203,.007618608,1,01019
1021,147,.6802721,698.58002,609.668888888889,41.3588888888889,16.25,43643,.6802721,.44217855,40834,.51895577,.49510804,.005659556,.096922763,.046765804,1,01021
1023,65,0,701.41888,438.698888888889,56.9288888888889,4.33,13859,0,.46060714,35123,0,.48257449,.002092503,.43379754,.0032469875,1,01023
1025,106,1.8867924,792.39886,527.768888888889,63.1788888888889,.43,25833,1.8867924,.52050805,30954,1.060146,.4728061,.014245345,.43881857,.0056903958,1,01025
1027,7,0,739.65887,638.75,74.5,13.3488888888889,13932,0,.42262897,34556,0,.49045363,.0050244043,.14829171,.018662073,1,01027
1029,8,0,765.62891,696.97,56.3688888888889,,14972,0,.42894015,37244,0,.49779588,.01442693,.033262089,.011621694,1,01029
1031,140,1.4285715,661.10999,518.3200000000001,69.20888888888889,31.03,49948,.71428573,.44199866,44626,.53899652,.49419397,.016637303,.16735405,.047249138,1,01031
1033,618,.97087377,694.59003,546.758888888889,61.88,26,54428,.97087377,.43643901,40158,.67847699,.4806166,.03000294,.16109355,.017178658,1,01033
1035,16,0,570.75891,324.838888888889,74.1588888888889,,13228,0,.48231184,27064,0,.48472935,.01277593,.4648473,.0038554582,1,01035
1037,2,0,532.79889,362.25,50,,11539,0,.42657611,37425,0,.49631685,.019239102,.31042552,.016465899,1,01037
1039,54,3.7037036,619.25,530.97,55.42,7.71,37765,3.7037036,.46648231,35321,1.5483502,.48425791,0,.12487753,.010406461,1,01039
1041,3,0,631.66888,535.158888888889,62.92,,13906,0,.45226908,37309,0,.48281318,.026391486,.23399971,.022220625,1,01041
1043,298,0,781.01886,669.888888888889,45.99,57.38,80406,0,.43658739,39244,0,.49398056,.023990747,.010645972,.028492898,1,01043
1045,123,0,492.17001,357.778888888889,73.87000000000001,5.53,50251,0,.414507,45247,0,.49402002,.025213428,.19261308,.038924597,1,01045
1047,158,.63291138,605.79889,382.568888888889,55.64,12.23,43820,0,.50124866,26178,0,.46198082,.078115016,.69427204,.0079643996,0,01047
1049,80,0,553.65887,457.55,55.2,37.3688888888889,71109,0,.4411808,36853,0,.49379122,.0096612247,.015159825,.073605306,1,01049
1051,418,2.15311,469.67999,356.04,74.42,8.53888888888889,79303,2.15311,.40177336,55514,1.1483892,.487863,.016821558,.20049682,.022306848,1,01051
1053,253,2.3715415,600.59003,467.568888888889,48.25,13.83,38319,2.3715415,.45618439,31075,1.2153701,.51582766,.030585349,.31890184,.011534748,1,01053
1055,422,1.421801,804.41888,615.878888888889,55.6888888888889,73.01000000000001,104430,1.421801,.44605058,37660,.88451147,.48478407,.011864407,.15125921,.020674136,1,01055
1057,25,0,640.27887,550.428888888889,46.1088888888889,5.21888888888889,17241,0,.42318749,33090,0,.49341685,.021576475,.11420451,.0063801403,1,01057
1059,54,0,643.96002,527.788888888889,37.6888888888889,46.8988888888889,31704,0,.44917881,37235,0,.49924299,.0067814789,.038733281,.080305323,1,01059
1061,4,0,615.45001,478.05,73.1588888888889,1.87,26790,0,.43387327,33618,0,.48917505,.013363196,.094774172,.020791341,1,01061
1063,5,0,268.10001,125.37,41.46,4.08888888888889,9045,0,.48465952,23777,0,.47219458,.013488115,.81481481,.0016583748,0,01063
1065,71,0,604.75891,276.778888888889,87.9388888888889,1.59,15760,0,.4569819,29409,0,.47373095,.0043147206,.59016496,.0088197971,0,01065
1067,12,0,473.63889,348.23,52.25,,17302,0,.44460091,40680,0,.47982892,.023292106,.28563172,.02860941,1,01067
1069,976,1.0245901,798.23999,595.648888888889,120.578888888889,25.12,101547,1.0245901,.45124185,41828,.70536727,.47997478,.034545578,.25777227,.022994278,1,01069
1071,131,0,543.37,453.078888888889,39.75,28.46,53227,0,.42879209,37059,0,.49108535,.023446746,.033460461,.020778928,1,01071
1073,8658,.82005084,838.70001,469.25,101.81,83.65000000000001,658466,.75075078,.46398005,45415,.56004471,.47354457,.05659214,.41995335,.042823777,0,01073
1075,8,0,758.16888,611.23,72.4388888888889,,14564,0,.45880041,35271,0,.48729745,.0042570722,.11281241,.0045317221,1,01075
