"","fips","count","isharassment","pctharassment","fips_str","TOTCNG","TOTADH","TOTRATE","EVANCNG","EVANADH","EVANRATE","BPRTCNG","BPRTADH","BPRTRATE","MPRTCNG","MPRTADH","MPRTRATE","CATHCNG","CATHADH","CATHRATE","POP2010","STNAME","STCODE","FIPS"
"1",1001,13043,148,1.13470827263666,"01001",106,36938,676.878888888889,79,27503,503.99,13,2291,41.9788888888889,12,4522,82.8588888888889,1,1766,32.3588888888889,54571,"Alabama",1,1001
"2",1003,1045,11,1.05263157894737,"01003",271,96918,531.74,178,57986,318.138888888889,17,3130,17.17,48,20075,110.14,13,14009,76.8588888888889,182265,"Alabama",1,1003
"3",1005,52,0,0,"01005",89,15101,549.99,51,8793,320.25,21,3328,121.208888888889,14,2140,77.9388888888889,1,575,20.94,27457,"Alabama",1,1005
"4",1007,44,0,0,"01007",81,11430,498.8,63,10159,443.328888888889,8,966,42.1588888888889,9,302,13.1788888888889,NA,NA,NA,22915,"Alabama",1,1007
"5",1009,58,1,1.72413793103448,"01009",156,37352,651.62,122,29223,509.8,2,58,1.01,29,3035,52.95,1,4744,82.76,57322,"Alabama",1,1009
"6",1011,3,0,0,"01011",47,6300,577.24,15,2152,197.18,21,3445,315.648888888889,9,601,55.07,1,49,4.49,10914,"Alabama",1,1011
"7",1013,40,0,0,"01013",92,12278,586.148888888889,63,8653,413.088888888889,8,1657,79.0988888888889,17,1653,78.9088888888889,1,77,3.68,20947,"Alabama",1,1013
"8",1015,1230,23,1.86991869918699,"01015",281,84615,713.62,204,67564,569.808888888889,24,5163,43.5388888888889,42,7066,59.59,4,3192,26.92,118572,"Alabama",1,1015
"9",1017,456,13,2.85087719298246,"01017",119,22251,650.33,62,12903,377.12,21,5780,168.93,33,3080,90.0188888888889,1,249,7.28,34215,"Alabama",1,1017
"10",1019,29,1,3.44827586206897,"01019",79,12455,479.24,62,10865,418.06,NA,NA,NA,16,1590,61.1788888888889,NA,NA,NA,25989,"Alabama",1,1019
"11",1021,147,1,0.680272108843537,"01021",122,30488,698.58,98,26608,609.668888888889,7,1116,25.57,14,1805,41.3588888888889,1,709,16.25,43643,"Alabama",1,1021
"12",1023,65,0,0,"01023",83,9721,701.418888888889,52,6080,438.698888888889,16,2635,190.128888888889,13,789,56.9288888888889,1,60,4.33,13859,"Alabama",1,1023
"13",1025,106,2,1.88679245283019,"01025",122,20470,792.398888888889,77,13634,527.768888888889,23,5098,197.34,16,1632,63.1788888888889,3,11,0.43,25833,"Alabama",1,1025
"14",1027,7,0,0,"01027",69,10305,739.658888888889,53,8899,638.75,2,181,12.99,12,1038,74.5,1,186,13.3488888888889,13932,"Alabama",1,1027
"15",1029,8,0,0,"01029",66,11463,765.628888888889,48,10435,696.97,1,183,12.22,17,844,56.3688888888889,NA,NA,NA,14972,"Alabama",1,1029
